Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Display,Office,Warranty
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,19990,3.8,6653,591,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home,512,N/A,N/A,1
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind...,MOTOROLA,57990,4.4,570,69,Intel Core 7 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,1,14,Office Home 2024,1
ZEBRONICS Pro Series Z Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) ZEB-NBC 5S Thin...,ZEBRONICS,57599,4,242,26,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,1,N/A,N/A,1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
Lenovo IdeaPad 5 2-in-1 WUXGA IPS AMD Ryzen 5 Hexa Core 8645HS - (16 GB/512 GB SSD/Windows 11 Home) 14...,Lenovo,72490,4.1,7,0,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR5X RAM,Windows 11,512,N/A,Office Home & Student 2021,1
Lenovo LOQ 2025 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,Lenovo,134990,4.3,24,2,Intel Core i7 Processor (14th Gen),16 GB DDR5 RAM,Windows 11 Home,1,N/A,Office Home 2024 + Lenovo AI Now,1
Apple MacBook Air M3 - (16 GB/1 TB SSD/macOS Sonoma) MXCR3HN/A,Apple,163399,N/A,N/A,N/A,Apple M3 Processor,16 GB Unified Memory RAM,Mac OS,1,13,N/A,1
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,15990,3.8,6653,591,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home,128,N/A,N/A,1
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A325-45 Thin and Light...,Acer,21490,3.9,1791,164,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Windows 11,256,15.6,N/A,1
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,Lenovo,12990,3.9,3125,268,MediaTek Kompanio 520 Processor,4 GB LPDDR4X RAM,Chrome,N/A,14,N/A,1
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,Lenovo,12789,4,1686,128,MediaTek Kompanio 520 Processor,4 GB LPDDR4X RAM,Chrome,N/A,11.6,N/A,1
"Acer Aspire 14 with Backlit Keyboard, Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Hom...",Acer,46990,4.3,5945,512,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Home,512,N/A,N/A,1
